"probe","class","symbol"
"6507","CMS1","SLC1A3"
"8638","CMS1","OASL"
"1604","CMS1","CD55"
"9636","CMS1","ISG15"
"5321","CMS1","PLA2G4A"
"9751","CMS1","SNPH"
"333","CMS1","APLP1"
"8942","CMS1","KYNU"
"1396","CMS1","CRIP1"
"5655","CMS1","KLK10"
"29015","CMS1","SLC43A3"
"7074","CMS1","TIAM1"
"9532","CMS1","BAG2"
"4599","CMS1","MX1"
"8061","CMS1","FOSL1"
"7477","CMS1","WNT7B"
"4923","CMS1","NTSR1"
"5268","CMS1","SERPINB5"
"10551","CMS1","AGR2"
"362","CMS1","AQP5"
"1612","CMS1","DAPK1"
"1803","CMS1","DPP4"
"10090","CMS1","UST"
"26049","CMS1","FAM169A"
"27165","CMS1","GLS2"
"6505","CMS1","SLC1A1"
"2051","CMS1","EPHB6"
"348","CMS1","APOE"
"10643","CMS1","IGF2BP3"
"10418","CMS1","SPON1"
"4069","CMS1","LYZ"
"54809","CMS1","SAMD9"
"576","CMS1","ADGRB2"
"10687","CMS1","PNMA2"
"55714","CMS1","TENM3"
"478","CMS1","ATP1A3"
"55107","CMS1","ANO1"
"79772","CMS1","MCTP1"
"9245","CMS1","GCNT3"
"3576","CMS1","CXCL8"
"6508","CMS1","SLC4A3"
"113146","CMS1","AHNAK2"
"3775","CMS1","KCNK1"
"794","CMS1","CALB2"
"7104","CMS1","TM4SF4"
"79083","CMS1","MLPH"
"84951","CMS1","TNS4"
"2537","CMS1","IFI6"
"3294","CMS1","HSD17B2"
"4973","CMS1","OLR1"
"4129","CMS1","MAOB"
"51316","CMS1","PLAC8"
"793","CMS1","CALB1"
"8671","CMS1","SLC4A4"
"80144","CMS1","FRAS1"
"23650","CMS1","TRIM29"
"27063","CMS1","ANKRD1"
"11012","CMS1","KLK11"
"250","CMS1","ALPP"
"5266","CMS1","PI3"
"6374","CMS1","CXCL5"
"3853","CMS1","KRT6A"
"251","CMS1","ALPG"
"58530","CMS2","LY6G6D"
"23475","CMS2","QPRT"
"10160","CMS2","FARP1"
"10451","CMS2","VAV3"
"80183","CMS2","RUBCNL"
"64772","CMS2","ENGASE"
"30811","CMS2","HUNK"
"7105","CMS2","TSPAN6"
"3549","CMS2","IHH"
"1555","CMS2","CYP2B6"
"10110","CMS2","SGK2"
"54894","CMS2","RNF43"
"430","CMS2","ASCL2"
"23305","CMS2","ACSL6"
"2069","CMS2","EREG"
"2786","CMS2","GNG4"
"4354","CMS2","MPP1"
"1050","CMS2","CEBPA"
"8856","CMS2","NR1I2"
"54866","CMS2","PPP1R14D"
"1056","CMS2","CEL"
"1820","CMS2","ARID3A"
"29974","CMS2","A1CF"
"10656","CMS2","KHDRBS3"
"1813","CMS2","DRD2"
"23314","CMS2","SATB2"
"92211","CMS2","CDHR1"
"1644","CMS2","DDC"
"25984","CMS2","KRT23"
"8836","CMS2","GGH"
"1800","CMS2","DPEP1"
"29842","CMS2","TFCP2L1"
"79919","CMS2","MAB21L4"
"27244","CMS2","SESN1"
"374","CMS2","AREG"
"7089","CMS2","TLE2"
"81617","CMS2","CAB39L"
"5789","CMS2","PTPRD"
"1045","CMS2","CDX2"
"313","CMS2","AOAH"
"4224","CMS2","MEP1A"
"5332","CMS2","PLCB4"
"1080","CMS2","CFTR"
"27286","CMS2","SRPX2"
"2564","CMS2","GABRE"
"5800","CMS2","PTPRO"
"24146","CMS2","CLDN15"
"3397","CMS2","ID1"
"1515","CMS2","CTSV"
"9547","CMS2","CXCL14"
"1756","CMS2","DMD"
"1244","CMS2","ABCC2"
"1602","CMS2","DACH1"
"63928","CMS2","CHP2"
"8991","CMS2","SELENBP1"
"2168","CMS2","FABP1"
"6550","CMS2","SLC9A3"
"27132","CMS2","CPNE7"
"6690","CMS2","SPINK1"
"27035","CMS2","NOX1"
"27445","CMS2","PCLO"
"54825","CMS2","CDHR2"
"7481","CMS2","WNT11"
"51083","CMS2","GAL"
"10814","CMS2","CPLX2"
"9369","CMS2","NRXN3"
"23359","CMS2","FAM189A1"
"6331","CMS2","SCN5A"
"26232","CMS2","FBXO2"
"8618","CMS2","CADPS"
"80307","CMS2","FER1L4"
"64220","CMS2","STRA6"
"5243","CMS2","ABCB1"
"1299","CMS2","COL9A3"
"54576","CMS2","UGT1A8"
"3158","CMS2","HMGCS2"
"27092","CMS2","CACNG4"
"655","CMS2","BMP7"
"1591","CMS2","CYP24A1"
"11211","CMS2","FZD10"
"2302","CMS2","FOXJ1"
"10562","CMS2","OLFM4"
"5732","CMS3","PTGER2"
"7850","CMS3","IL1R2"
"201501","CMS3","ZBTB7C"
"8537","CMS3","BCAS1"
"360","CMS3","AQP3"
"400451","CMS3","FAM174B"
"6549","CMS3","SLC9A2"
"57535","CMS3","KIAA1324"
"5909","CMS3","RAP1GAP"
"3306","CMS3","HSPA2"
"9314","CMS3","KLF4"
"3960","CMS3","LGALS4"
"90993","CMS3","CREB3L1"
"5265","CMS3","SERPINA1"
"64116","CMS3","SLC39A8"
"2043","CMS3","EPHA4"
"6484","CMS3","ST3GAL4"
"79642","CMS3","ARSJ"
"5095","CMS3","PCCA"
"158471","CMS3","PRUNE2"
"7031","CMS3","TFF1"
"6369","CMS3","CCL24"
"2263","CMS3","FGFR2"
"1825","CMS3","DSC3"
"4583","CMS3","MUC2"
"10144","CMS3","FAM13A"
"4093","CMS3","SMAD9"
"10020","CMS3","GNE"
"7033","CMS3","TFF3"
"10595","CMS3","ERN2"
"10396","CMS3","ATP8A1"
"4982","CMS3","TNFRSF11B"
"312","CMS3","ANXA13"
"2984","CMS3","GUCY2C"
"10840","CMS3","ALDH1L1"
"218","CMS3","ALDH3A1"
"5152","CMS3","PDE9A"
"1577","CMS3","CYP3A5"
"257407","CMS3","C2orf72"
"6337","CMS3","SCNN1A"
"5783","CMS3","PTPN13"
"10223","CMS3","GPA33"
"10874","CMS3","NMU"
"489","CMS3","ATP2A3"
"4128","CMS3","MAOA"
"1373","CMS3","CPS1"
"11240","CMS3","PADI2"
"3169","CMS3","FOXA1"
"4147","CMS3","MATN2"
"54474","CMS3","KRT20"
"5284","CMS3","PIGR"
"1152","CMS3","CKB"
"771","CMS3","CA12"
"3485","CMS3","IGFBP2"
"55607","CMS3","PPP1R9A"
"5865","CMS3","RAB3B"
"266977","CMS3","ADGRF1"
"3934","CMS3","LCN2"
"4038","CMS3","LRP4"
"768","CMS3","CA9"
"8854","CMS3","ALDH1A2"
"22943","CMS3","DKK1"
"28234","CMS3","SLCO1B3"
"51442","CMS3","VGLL1"
"85360","CMS4","SYDE1"
"22808","CMS4","MRAS"
"10979","CMS4","FERMT2"
"2737","CMS4","GLI3"
"10398","CMS4","MYL9"
"2121","CMS4","EVC"
"4130","CMS4","MAP1A"
"2260","CMS4","FGFR1"
"5176","CMS4","SERPINF1"
"6695","CMS4","SPOCK1"
"57198","CMS4","ATP8B2"
"7431","CMS4","VIM"
"22873","CMS4","DZIP1"
"7077","CMS4","TIMP2"
"2192","CMS4","FBLN1"
"7145","CMS4","TNS1"
"23452","CMS4","ANGPTL2"
"9828","CMS4","ARHGEF17"
"84168","CMS4","ANTXR1"
"23208","CMS4","SYT11"
"8828","CMS4","NRP2"
"4240","CMS4","MFGE8"
"81606","CMS4","LBH"
"2200","CMS4","FBN1"
"8777","CMS4","MPDZ"
"1292","CMS4","COL6A2"
"558","CMS4","AXL"
"5797","CMS4","PTPRM"
"10000","CMS4","AKT3"
"6935","CMS4","ZEB1"
"7041","CMS4","TGFB1I1"
"26353","CMS4","HSPB8"
"11259","CMS4","FILIP1L"
"6925","CMS4","TCF4"
"56967","CMS4","C14orf132"
"4854","CMS4","NOTCH3"
"3554","CMS4","IL1R1"
"7078","CMS4","TIMP3"
"5311","CMS4","PKD2"
"84617","CMS4","TUBB6"
"1009","CMS4","CDH11"
"3910","CMS4","LAMA4"
"9902","CMS4","MRC2"
"284119","CMS4","CAVIN1"
"2273","CMS4","FHL1"
"51177","CMS4","PLEKHO1"
"1809","CMS4","DPYSL3"
"3678","CMS4","ITGA5"
"51226","CMS4","COPZ2"
"4163","CMS4","MCC"
"5099","CMS4","PCDH7"
"322","CMS4","APBB1"
"4015","CMS4","LOX"
"83604","CMS4","TMEM47"
"9260","CMS4","PDLIM7"
"3624","CMS4","INHBA"
"10417","CMS4","SPON2"
"80781","CMS4","COL18A1"
"89927","CMS4","BMERB1"
"79901","CMS4","CYBRD1"
"8506","CMS4","CNTNAP1"
"2009","CMS4","EML1"
"7169","CMS4","TPM2"
"1490","CMS4","CCN2"
"2736","CMS4","GLI2"
"2908","CMS4","NR3C1"
"9444","CMS4","QKI"
"8321","CMS4","FZD1"
"10395","CMS4","DLC1"
"8829","CMS4","NRP1"
"7786","CMS4","MAP3K12"
"1291","CMS4","COL6A1"
"9180","CMS4","OSMR"
"2316","CMS4","FLNA"
"4644","CMS4","MYO5A"
"4131","CMS4","MAP1B"
"79776","CMS4","ZFHX4"
"10409","CMS4","BASP1"
"586","CMS4","BCAT1"
"11245","CMS4","GPR176"
"5937","CMS4","RBMS1"
"389136","CMS4","VGLL3"
"287","CMS4","ANK2"
"2669","CMS4","GEM"
"4052","CMS4","LTBP1"
"1284","CMS4","COL4A2"
"9590","CMS4","AKAP12"
"4016","CMS4","LOXL1"
"4323","CMS4","MMP14"
"1545","CMS4","CYP1B1"
"9853","CMS4","RUSC2"
"1000","CMS4","CDH2"
"79745","CMS4","CLIP4"
"8572","CMS4","PDLIM4"
"80114","CMS4","BICC1"
"7057","CMS4","THBS1"
"4017","CMS4","LOXL2"
"11346","CMS4","SYNPO"
"9891","CMS4","NUAK1"
"26064","CMS4","RAI14"
"7106","CMS4","TSPAN4"
"1514","CMS4","CTSL"
"4054","CMS4","LTBP3"
"3913","CMS4","LAMB2"
"10123","CMS4","ARL4C"
"11228","CMS4","RASSF8"
"6591","CMS4","SNAI2"
"51393","CMS4","TRPV2"
"8460","CMS4","TPST1"
"57158","CMS4","JPH2"
"8910","CMS4","SGCE"
"23331","CMS4","TTC28"
"1397","CMS4","CRIP2"
"9900","CMS4","SV2A"
"2014","CMS4","EMP3"
"5376","CMS4","PMP22"
"220","CMS4","ALDH1A3"
"1917","CMS4","EEF1A2"
"6279","EST immune","S100A8"
"597","EST immune","BCL2A1"
"9935","EST immune","MAFB"
"4688","EST immune","NCF2"
"4332","EST immune","MNDA"
"3689","EST immune","ITGB2"
"7305","EST immune","TYROBP"
"23643","EST immune","LY96"
"241","EST immune","ALOX5AP"
"2207","EST immune","FCER1G"
"7805","EST immune","LAPTM5"
"3115","EST immune","HLA-DPB1"
"3122","EST immune","HLA-DRA"
"963","EST immune","CD53"
"5552","EST immune","SRGN"
"4478","EST immune","MSN"
"3937","EST immune","LCP2"
"3113","EST immune","HLA-DPA1"
"2633","EST immune","GBP1"
"9976","EST immune","CLEC2B"
"7130","CIBERSORT1","TNFAIP6"
"6362","CIBERSORT1","CCL18"
"6355","CIBERSORT1","CCL8"
"3627","CIBERSORT1","CXCL10"
"54210","CIBERSORT1","TREM1"
"366","CIBERSORT1","AQP9"
"4283","CIBERSORT1","CXCL9"
"6373","CIBERSORT1","CXCL11"
"8685","CIBERSORT1","MARCO"
"10964","CIBERSORT1","IFI44L"
"2213","CIBERSORT1","FCGR2B"
"2359","CIBERSORT1","FPR3"
"6351","CIBERSORT1","CCL4"
"1116","CIBERSORT1","CHI3L1"
"728","CIBERSORT1","C5AR1"
"4318","CIBERSORT1","MMP9"
"2215","CIBERSORT1","FCGR3B"
"1959","CIBERSORT1","EGR2"
"942","CIBERSORT1","CD86"
"56833","CIBERSORT1","SLAMF8"
"91543","CIBERSORT1","RSAD2"
"3117","CIBERSORT1","HLA-DQA1"
"51363","CIBERSORT1","CHST15"
"2357","CIBERSORT1","FPR1"
"54209","CIBERSORT1","TREM2"
"3620","CIBERSORT1","IDO1"
"79154","CIBERSORT2","DHRS11"
"79908","CIBERSORT2","BTNL8"
"4602","CIBERSORT2","MYB"
"9185","CIBERSORT2","REPS2"
"6364","CIBERSORT2","CCL20"
"23604","CIBERSORT2","DAPK2"
"54795","CIBERSORT2","TRPM4"
"55512","CIBERSORT2","SMPD3"
"29091","CIBERSORT2","STXBP6"
"140803","CIBERSORT2","TRPM6"
"1088","CIBERSORT2","CEACAM8"
"5029","CIBERSORT2","P2RY2"
"55020","CIBERSORT2","TTC38"
"8792","CIBERSORT2","TNFRSF11A"
"2239","CIBERSORT2","GPC4"
"54852","CIBERSORT2","PAQR5"
"3382","CIBERSORT2","ICA1"
"6932","CIBERSORT2","TCF7"
"64919","CIBERSORT2","BCL11B"
"65986","CIBERSORT2","ZBTB10"
"5972","CIBERSORT2","REN"
"993","CIBERSORT2","CDC25A"
"838","CIBERSORT2","CASP5"
"2444","CIBERSORT2","FRK"
"27293","CIBERSORT2","SMPDL3B"
"9618","CIBERSORT2","TRAF4"
"54923","CIBERSORT2","LIME1"
"79899","CIBERSORT2","PRR5L"
"2035","CIBERSORT2","EPB41"
"25797","CIBERSORT2","QPCT"
"81796","CIBERSORT2","SLCO5A1"
"3176","CIBERSORT2","HNMT"
"440348","CIBERSORT2","NPIPB15"
"79973","CIBERSORT2","ZNF442"
"678","CIBERSORT2","ZFP36L2"
"57553","CIBERSORT2","MICAL3"
"767","CIBERSORT2","CA8"
"894","CIBERSORT2","CCND2"
"2041","CIBERSORT2","EPHA1"
"79703","CIBERSORT2","C11orf80"
"11123","CIBERSORT2","RCAN3"
"7380","CIBERSORT2","UPK3A"
"2842","CIBERSORT2","GPR19"
"140801","CIBERSORT2","RPL10L"
"50853","CIBERSORT2","VILL"
"7976","CIBERSORT2","FZD3"
