"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05164","hsa05164","Influenza A","6/69","171/8190",0.00306659261824343,0.016804927547974,0.0126537295405413,"HLA-DPB1/HLA-DRA/HLA-DPA1/CXCL10/RSAD2/HLA-DQA1",6
"hsa04612","hsa04612","Antigen processing and presentation","4/69","78/8190",0.00412033225350457,0.0217109814896203,0.0163478769572246,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","5/69","131/8190",0.00480933526006518,0.0237445657920564,0.0178791198434231,"ITGB2/TYROBP/FCER1G/LCP2/FCGR3B",5
"hsa05219","hsa05219","Bladder cancer","3/69","41/8190",0.00485290395750057,0.0237445657920564,0.0178791198434231,"MMP9/DAPK2/UPK3A",3
"hsa05169","hsa05169","Epstein-Barr virus infection","6/69","202/8190",0.00689440920448251,0.0325701400349691,0.0245245772065077,"HLA-DPB1/HLA-DRA/HLA-DPA1/CXCL10/HLA-DQA1/CCND2",6
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","4/69","92/8190",0.00739206191733036,0.0337570827558086,0.0254183181718728,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"hsa04640","hsa04640","Hematopoietic cell lineage","4/69","99/8190",0.00953161384192789,0.0421235837530361,0.0317181037863814,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"hsa04064","hsa04064","NF-kappa B signaling pathway","4/69","104/8190",0.0112842016462644,0.0483104882980696,0.0363767026754577,"BCL2A1/LY96/CCL4/TNFRSF11A",4
"hsa04659","hsa04659","Th17 cell differentiation","4/69","108/8190",0.0128270096092584,0.0532515247414666,0.0400971911230405,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"hsa04668","hsa04668","TNF signaling pathway","4/69","112/8190",0.0144989509826185,0.058422243665257,0.043990625272341,"CXCL10/CXCL5/MMP9/CCL20",4
"hsa04670","hsa04670","Leukocyte transendothelial migration","4/69","114/8190",0.0153844222517162,0.0602190242424322,0.0453435603208479,"NCF2/ITGB2/MSN/MMP9",4
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","3/69","68/8190",0.0194221510049189,0.0739120746576082,0.05565411691468,"ALOX5AP/FCER1G/LCP2",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","5/69","193/8190",0.0229833418711117,0.0851004820633053,0.0640787340929998,"BCL2A1/MMP9/CD86/BCL11B/CCND2",5
"hsa05133","hsa05133","Pertussis","3/69","76/8190",0.0259829125969907,0.0936752375207295,0.0705353305957087,"ITGB2/LY96/CXCL5",3
"hsa04390","hsa04390","Hippo signaling pathway","4/69","157/8190",0.0430059957751922,0.151072344133368,0.113754050903343,"ITGB2/TCF7/CCND2/FZD3",4
"hsa04310","hsa04310","Wnt signaling pathway","4/69","170/8190",0.0547286993284304,0.187445795199874,0.141142435110163,"GPC4/TCF7/CCND2/FZD3",4
"hsa00140","hsa00140","Steroid hormone biosynthesis","2/69","62/8190",0.0958485698623778,0.313734311160247,0.236234825153317,"DHRS11/UGT1A8",2
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","2/69","63/8190",0.0984713531378879,0.313734311160247,0.236234825153317,"CXCL10/CCL4",2
"hsa05217","hsa05217","Basal cell carcinoma","2/69","63/8190",0.0984713531378879,0.313734311160247,0.236234825153317,"TCF7/FZD3",2
"hsa05221","hsa05221","Acute myeloid leukemia","2/69","67/8190",0.109160675653314,0.339886649193274,0.255926942919254,"BCL2A1/TCF7",2
"hsa05162","hsa05162","Measles","3/69","139/8190",0.112015772839048,0.341025797309992,0.256784695631035,"MSN/FCGR2B/CCND2",3
"hsa04917","hsa04917","Prolactin signaling pathway","2/69","70/8190",0.117371701578497,0.342303147737049,0.257746511549987,"TNFRSF11A/CCND2",2
"hsa04936","hsa04936","Alcoholic liver disease","3/69","142/8190",0.117432466741907,0.342303147737049,0.257746511549987,"LY96/C5AR1/TCF7",3
"hsa00910","hsa00910","Nitrogen metabolism","1/69","17/8190",0.134087535390715,0.382708173927665,0.288170580444957,"CA8",1
"hsa04218","hsa04218","Cellular senescence","3/69","156/8190",0.143947373985216,0.402465106856625,0.303047103126771,"CDC25A/CCND2/ZFP36L2",3
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","1/69","20/8190",0.155836764708152,0.426992735300337,0.321515851397872,"CHST15",1
"hsa04610","hsa04610","Complement and coagulation cascades","2/69","86/8190",0.163433481375405,0.439027195067265,0.330577526827445,"ITGB2/C5AR1",2
"hsa00340","hsa00340","Histidine metabolism","1/69","22/8190",0.170036234399834,0.44565672057016,0.335569409265276,"HNMT",1
"hsa04976","hsa04976","Bile secretion","2/69","89/8190",0.172407344454149,0.44565672057016,0.335569409265276,"AQP9/UGT1A8",2
"hsa04614","hsa04614","Renin-angiotensin system","1/69","23/8190",0.177047436631275,0.449175904046012,0.338219274656236,"REN",1
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","2/69","97/8190",0.19670814817708,0.481232433933213,0.362357115063042,"FCGR2B/FCGR3B",2
"hsa05215","hsa05215","Prostate cancer","2/69","97/8190",0.19670814817708,0.481232433933213,0.362357115063042,"MMP9/TCF7",2
"hsa04916","hsa04916","Melanogenesis","2/69","101/8190",0.209020059766045,0.502381547156986,0.378281917951476,"TCF7/FZD3",2
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","2/69","104/8190",0.218308056628396,0.512649113722773,0.386013162849264,"FCER1G/EGR2",2
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/69","194/8190",0.223977747789364,0.512649113722773,0.386013162849264,"CLEC2B/CD86/TCF7",3
"hsa00053","hsa00053","Ascorbate and aldarate metabolism","1/69","30/8190",0.224517860024572,0.512649113722773,0.386013162849264,"UGT1A8",1
"hsa05415","hsa05415","Diabetic cardiomyopathy","3/69","203/8190",0.2441449509277,0.539021528542579,0.405870993447351,"NCF2/MMP9/REN",3
"hsa05205","hsa05205","Proteoglycans in cancer","3/69","205/8190",0.248669170372071,0.539021528542579,0.405870993447351,"MSN/MMP9/FZD3",3
"hsa00040","hsa00040","Pentose and glucuronate interconversions","1/69","35/8190",0.256762743243833,0.539021528542579,0.405870993447351,"UGT1A8",1
"hsa04015","hsa04015","Rap1 signaling pathway","3/69","210/8190",0.26003751292543,0.539021528542579,0.405870993447351,"ITGB2/LCP2/FPR1",3
"hsa05206","hsa05206","MicroRNAs in cancer","4/69","310/8190",0.264470221463708,0.539021528542579,0.405870993447351,"MMP9/CDC25A/CCND2/FZD3",4
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","3/69","212/8190",0.264605769533056,0.539021528542579,0.405870993447351,"PAQR5/CDC25A/UGT1A8",3
"hsa05143","hsa05143","African trypanosomiasis","1/69","37/8190",0.269287460048511,0.539021528542579,0.405870993447351,"IDO1",1
"hsa05216","hsa05216","Thyroid cancer","1/69","37/8190",0.269287460048511,0.539021528542579,0.405870993447351,"TCF7",1
"hsa05417","hsa05417","Lipid and atherosclerosis","3/69","215/8190",0.271477996127284,0.539021528542579,0.405870993447351,"NCF2/LY96/MMP9",3
"hsa04611","hsa04611","Platelet activation","2/69","124/8190",0.28083908385465,0.549642206972673,0.413868123575274,"FCER1G/LCP2",2
"hsa04110","hsa04110","Cell cycle","2/69","126/8190",0.287105327481369,0.553991969928839,0.417143396488868,"CDC25A/CCND2",2
"hsa00380","hsa00380","Tryptophan metabolism","1/69","42/8190",0.299696455088397,0.570255754820977,0.429389657875189,"IDO1",1
"hsa00860","hsa00860","Porphyrin metabolism","1/69","43/8190",0.305626860660181,0.573573697403354,0.431887993434719,"UGT1A8",1
"hsa05171","hsa05171","Coronavirus disease - COVID-19","3/69","232/8190",0.310747292098767,0.575302419155826,0.433189681730857,"CXCL10/C5AR1/RPL10L",3
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","2/69","139/8190",0.327653179256559,0.597251452831217,0.449716806588238,"NCF2/MMP9",2
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/69","143/8190",0.340027142273668,0.597251452831217,0.449716806588238,"TCF7/FZD3",2
"hsa05144","hsa05144","Malaria","1/69","50/8190",0.345776299770157,0.597251452831217,0.449716806588238,"ITGB2",1
"hsa05132","hsa05132","Salmonella infection","3/69","249/8190",0.350242488006337,0.597251452831217,0.449716806588238,"LY96/TCF7/CASP5",3
"hsa05224","hsa05224","Breast cancer","2/69","147/8190",0.352334839202498,0.597251452831217,0.449716806588238,"TCF7/FZD3",2
"hsa05226","hsa05226","Gastric cancer","2/69","149/8190",0.358460926544009,0.597251452831217,0.449716806588238,"TCF7/FZD3",2
"hsa00600","hsa00600","Sphingolipid metabolism","1/69","53/8190",0.362274575361465,0.597251452831217,0.449716806588238,"SMPD3",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","4/69","362/8190",0.364149397317464,0.597251452831217,0.449716806588238,"FPR3/C5AR1/FPR1/P2RY2",4
"hsa01240","hsa01240","Biosynthesis of cofactors","2/69","153/8190",0.370652126124594,0.597251452831217,0.449716806588238,"IDO1/UGT1A8",2
"hsa04934","hsa04934","Cushing syndrome","2/69","155/8190",0.376715178962062,0.597251452831217,0.449716806588238,"TCF7/FZD3",2
"hsa04340","hsa04340","Hedgehog signaling pathway","1/69","56/8190",0.378362675456227,0.597251452831217,0.449716806588238,"CCND2",1
"hsa04150","hsa04150","mTOR signaling pathway","2/69","156/8190",0.379738137468255,0.597251452831217,0.449716806588238,"PRR5L/FZD3",2
"hsa05160","hsa05160","Hepatitis C","2/69","157/8190",0.382755226152105,0.597251452831217,0.449716806588238,"CXCL10/RSAD2",2
"hsa05134","hsa05134","Legionellosis","1/69","57/8190",0.383635969701803,0.597251452831217,0.449716806588238,"ITGB2",1
"hsa05213","hsa05213","Endometrial cancer","1/69","58/8190",0.388865173942622,0.598590211574598,0.450724861577492,"TCF7",1
"hsa05161","hsa05161","Hepatitis B","2/69","162/8190",0.397748659970227,0.600982510578988,0.452526208503579,"MMP9/EGR2",2
"hsa04978","hsa04978","Mineral absorption","1/69","60/8190",0.399192762501371,0.600982510578988,0.452526208503579,"TRPM6",1
"hsa05225","hsa05225","Hepatocellular carcinoma","2/69","168/8190",0.415524370415156,0.618769986379091,0.465919774607383,"TCF7/FZD3",2
"hsa00830","hsa00830","Retinol metabolism","1/69","68/8190",0.438810742226931,0.627015875431204,0.47212874216103,"UGT1A8",1
"hsa04924","hsa04924","Renin secretion","1/69","69/8190",0.443578294404516,0.627015875431204,0.47212874216103,"REN",1
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","1/69","69/8190",0.443578294404516,0.627015875431204,0.47212874216103,"UGT1A8",1
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/69","70/8190",0.448305926184603,0.627015875431204,0.47212874216103,"CXCL10",1
"hsa04520","hsa04520","Adherens junction","1/69","71/8190",0.452993966959635,0.627015875431204,0.47212874216103,"TCF7",1
"hsa04360","hsa04360","Axon guidance","2/69","182/8190",0.455975018967814,0.627015875431204,0.47212874216103,"EPHA1/FZD3",2
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","1/69","72/8190",0.457642743444398,0.627015875431204,0.47212874216103,"UGT1A8",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","2/69","184/8190",0.461627099330108,0.627015875431204,0.47212874216103,"GBP1/CASP5",2
"hsa04115","hsa04115","p53 signaling pathway","1/69","73/8190",0.462252579697457,0.627015875431204,0.47212874216103,"CCND2",1
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/69","77/8190",0.48030891178286,0.644736386686406,0.485471885480351,"TCF7",1
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/69","78/8190",0.484728816267882,0.644736386686406,0.485471885480351,"UGT1A8",1
"hsa00983","hsa00983","Drug metabolism - other enzymes","1/69","80/8190",0.493457779845095,0.650035729219019,0.489462170291693,"UGT1A8",1
"hsa04662","hsa04662","B cell receptor signaling pathway","1/69","82/8190",0.502040977473913,0.655043942037391,0.493233241027002,"FCGR2B",1
"hsa05203","hsa05203","Viral carcinogenesis","2/69","204/8190",0.516244711496524,0.658081569976396,0.495520506013729,"EGR2/CCND2",2
"hsa04911","hsa04911","Insulin secretion","1/69","86/8190",0.51877963180621,0.658081569976396,0.495520506013729,"TRPM4",1
"hsa05210","hsa05210","Colorectal cancer","1/69","86/8190",0.51877963180621,0.658081569976396,0.495520506013729,"TCF7",1
"hsa05165","hsa05165","Human papillomavirus infection","3/69","331/8190",0.532502519164356,0.669292157114833,0.503961824028072,"TCF7/CCND2/FZD3",3
"hsa05222","hsa05222","Small cell lung cancer","1/69","92/8190",0.542853091262947,0.676098850027488,0.509087109509749,"TRAF4",1
"hsa01522","hsa01522","Endocrine resistance","1/69","98/8190",0.565738844284723,0.687921107934176,0.517989001748361,"MMP9",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/69","98/8190",0.565738844284723,0.687921107934176,0.517989001748361,"P2RY2",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","2/69","229/8190",0.579298287783271,0.687921107934176,0.517989001748361,"ITGB2/MSN",2
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","1/69","102/8190",0.580364823864983,0.687921107934176,0.517989001748361,"CDC25A",1
"hsa05146","hsa05146","Amoebiasis","1/69","102/8190",0.580364823864983,0.687921107934176,0.517989001748361,"ITGB2",1
"hsa04974","hsa04974","Protein digestion and absorption","1/69","103/8190",0.583944797548627,0.687921107934176,0.517989001748361,"MEP1A",1
"hsa04660","hsa04660","T cell receptor signaling pathway","1/69","104/8190",0.587494668819697,0.687921107934176,0.517989001748361,"LCP2",1
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","1/69","106/8190",0.594505099793469,0.690230497217841,0.519727919533987,"MAFB",1
"hsa04071","hsa04071","Sphingolipid signaling pathway","1/69","119/8190",0.637295312034751,0.733692922258495,0.552454140463561,"FCER1G",1
"hsa04926","hsa04926","Relaxin signaling pathway","1/69","129/8190",0.667153288696883,0.75837309011686,0.571037747456414,"MMP9",1
"hsa04068","hsa04068","FoxO signaling pathway","1/69","131/8190",0.672827409125371,0.75837309011686,0.571037747456414,"CCND2",1
"hsa04142","hsa04142","Lysosome","1/69","132/8190",0.675628613836917,0.75837309011686,0.571037747456414,"LAPTM5",1
"hsa04210","hsa04210","Apoptosis","1/69","136/8190",0.686599001808925,0.75837309011686,0.571037747456414,"BCL2A1",1
"hsa05135","hsa05135","Yersinia infection","1/69","137/8190",0.689283961937456,0.75837309011686,0.571037747456414,"LCP2",1
"hsa04915","hsa04915","Estrogen signaling pathway","1/69","138/8190",0.691946250106624,0.75837309011686,0.571037747456414,"MMP9",1
"hsa04140","hsa04140","Autophagy - animal","1/69","141/8190",0.699798961652125,0.760892521796358,0.572934822405249,"DAPK2",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","1/69","148/8190",0.717362921620846,0.77384819103981,0.582690147690368,"FCER1G",1
"hsa03010","hsa03010","Ribosome","1/69","158/8190",0.740710434025458,0.792791636417874,0.596954132684991,"RPL10L",1
"hsa04630","hsa04630","JAK-STAT signaling pathway","1/69","162/8190",0.74950775072437,0.795988851544487,0.599361563206759,"CCND2",1
"hsa04530","hsa04530","Tight junction","1/69","169/8190",0.764200747256094,0.805350018262191,0.60641030956354,"MSN",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","2/69","354/8190",0.806027696605652,0.842944995686827,0.634718475430726,"MYB/CCND2",2
"hsa04510","hsa04510","Focal adhesion","1/69","201/8190",0.821252431687303,0.852360478342125,0.641808120457382,"CCND2",1
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","1/69","223/8190",0.852343941367317,0.874029985020115,0.658124767821523,"NCF2",1
"hsa05163","hsa05163","Human cytomegalovirus infection","1/69","225/8190",0.854890642282448,0.874029985020115,0.658124767821523,"CCL4",1
"hsa05020","hsa05020","Prion disease","1/69","273/8190",0.904548873787945,0.917949597844063,0.691195240789229,"NCF2",1
"hsa05010","hsa05010","Alzheimer disease","1/69","384/8190",0.964122215606971,0.971211349545258,0.731300132581139,"FZD3",1
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","1/69","476/8190",0.984224440051387,0.984224440051387,0.741098694775535,"FZD3",1
