"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071674","BP","GO:0071674","mononuclear cell migration","11/94","196/18723",4.0460755955226e-09,4.81482995867189e-07,3.79053397896328e-07,"MSN/CCL18/CCL8/CXCL10/CXCL11/CCL4/C5AR1/SLAMF8/CCL20/TRPM4/TNFRSF11A",11
"GO:0002253","BP","GO:0002253","activation of immune response","14/94","375/18723",5.36263265976495e-09,6.0270032615025e-07,4.7448322890201e-07,"MNDA/TYROBP/FCER1G/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/FPR3/C5AR1/TREM2/FPR1/BTNL8/LIME1",14
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","13/94","315/18723",6.00219888868198e-09,6.39076229042297e-07,5.03120604907249e-07,"MNDA/TYROBP/FCER1G/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/FPR3/C5AR1/FPR1/BTNL8/LIME1",13
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","6/94","30/18723",7.34038768118263e-09,7.42480213951623e-07,5.84526661138385e-07,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/HLA-DQA1",6
"GO:0042110","BP","GO:0042110","T cell activation","15/94","487/18723",1.92226571953842e-08,1.85178264315534e-06,1.45783861336422e-06,"MAFB/FCER1G/LAPTM5/HLA-DPB1/HLA-DRA/MSN/HLA-DPA1/FCGR2B/CD86/RSAD2/HLA-DQA1/MYB/TCF7/BCL11B/ZFP36L2",15
"GO:0048002","BP","GO:0048002","antigen processing and presentation of peptide antigen","7/94","62/18723",2.51707188389484e-08,2.31456200959966e-06,1.82216734944157e-06,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0002478","BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","6/94","38/18723",3.30444470732335e-08,2.90647462735441e-06,2.28815782250811e-06,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/HLA-DQA1",6
"GO:0002548","BP","GO:0002548","monocyte chemotaxis","7/94","70/18723",5.93886630012584e-08,5.00596938548107e-06,3.94101083863614e-06,"CCL18/CCL8/CXCL10/CCL4/SLAMF8/CCL20/TNFRSF11A",7
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","10/94","210/18723",1.01290542575928e-07,8.19643070524409e-06,6.45274067020543e-06,"MSN/CCL8/CXCL10/CCL4/C5AR1/SLAMF8/TREM2/DAPK2/CCL20/SMPD3",10
"GO:0019884","BP","GO:0019884","antigen processing and presentation of exogenous antigen","6/94","47/18723",1.23944455891127e-07,9.64383208722115e-06,7.59222517260224e-06,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/HLA-DQA1",6
"GO:0060142","BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","5/94","27/18723",2.11917387957687e-07,1.58781065125334e-05,1.2500234229239e-05,"TYROBP/CD53/CXCL10/CXCL9/TREM2",5
"GO:0071356","BP","GO:0071356","cellular response to tumor necrosis factor","10/94","229/18723",2.26910785279563e-07,1.63943042364485e-05,1.29066172228564e-05,"LAPTM5/GBP1/CCL18/CCL8/CCL4/CHI3L1/CCL20/SMPD3/TNFRSF11A/ZFP36L2",10
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin","12/94","363/18723",2.69545259777643e-07,1.88031055355232e-05,1.48029756095671e-05,"S100A8/LY96/CXCL10/CXCL11/CXCL9/CXCL5/FCGR2B/C5AR1/CD86/TREM2/TNFRSF11A/REN",12
"GO:0006968","BP","GO:0006968","cellular defense response","6/94","54/18723",2.89829739499402e-07,1.95441854335763e-05,1.53863998548279e-05,"NCF2/MNDA/TYROBP/LY96/CXCL9/C5AR1",6
"GO:0034612","BP","GO:0034612","response to tumor necrosis factor","10/94","253/18723",5.67914533029652e-07,3.70610032360963e-05,2.91767296595539e-05,"LAPTM5/GBP1/CCL18/CCL8/CCL4/CHI3L1/CCL20/SMPD3/TNFRSF11A/ZFP36L2",10
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","13/94","467/18723",5.86924046871187e-07,3.71046045881379e-05,2.92110553590824e-05,"MNDA/TYROBP/LY96/FCER1G/LAPTM5/HLA-DPB1/HLA-DPA1/CHI3L1/C5AR1/CD86/RSAD2/TREM2/MYB",13
"GO:0070555","BP","GO:0070555","response to interleukin-1","8/94","143/18723",6.08743759962453e-07,3.73178371637589e-05,2.93789253213139e-05,"GBP1/CCL18/CCL8/CCL4/CHI3L1/CCL20/TNFRSF11A/HNMT",8
"GO:0048247","BP","GO:0048247","lymphocyte chemotaxis","6/94","64/18723",8.08124757045245e-07,4.68323354856687e-05,3.68693308998188e-05,"CCL18/CCL8/CXCL10/CXCL11/CCL4/CCL20",6
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","11/94","330/18723",8.10248018783196e-07,4.68323354856687e-05,3.68693308998188e-05,"GBP1/CCL18/CCL8/MARCO/CCL4/CHI3L1/C5AR1/TREM2/CCL20/TNFRSF11A/ZFP36L2",11
"GO:0002399","BP","GO:0002399","MHC class II protein complex assembly","4/94","16/18723",1.03532739783379e-06,5.47066631176958e-05,4.30684919723567e-05,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0002503","BP","GO:0002503","peptide antigen assembly with MHC class II protein complex","4/94","16/18723",1.03532739783379e-06,5.47066631176958e-05,4.30684919723567e-05,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0019882","BP","GO:0019882","antigen processing and presentation","7/94","106/18723",1.04280408284512e-06,5.47066631176958e-05,4.30684919723567e-05,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0002697","BP","GO:0002697","regulation of immune effector process","11/94","339/18723",1.05465143924376e-06,5.47066631176958e-05,4.30684919723567e-05,"ITGB2/TYROBP/LAPTM5/HLA-DRA/FCGR2B/CD86/SLAMF8/RSAD2/TREM2/MYB/TRPM4",11
"GO:0032496","BP","GO:0032496","response to lipopolysaccharide","11/94","343/18723",1.18268216550798e-06,5.9814150520566e-05,4.70894241161466e-05,"S100A8/LY96/CXCL10/CXCL11/CXCL9/CXCL5/C5AR1/CD86/TREM2/TNFRSF11A/REN",11
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","10/94","279/18723",1.38097514453507e-06,6.81393345705964e-05,5.36435274372674e-05,"MAFB/TYROBP/HLA-DRA/FCGR2B/CD86/SLAMF8/TREM2/MYB/TCF7/ZFP36L2",10
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","9/94","217/18723",1.4493897305363e-06,6.87460124786892e-05,5.41211420663719e-05,"CCL18/CCL8/MARCO/CCL4/CHI3L1/C5AR1/TREM2/CCL20/TNFRSF11A",9
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","12/94","426/18723",1.46123506504381e-06,6.87460124786892e-05,5.41211420663719e-05,"MAFB/FCER1G/HLA-DRA/FCGR2B/CD86/SLAMF8/RSAD2/TREM2/MYB/TCF7/BCL11B/ZFP36L2",12
"GO:0002501","BP","GO:0002501","peptide antigen assembly with MHC protein complex","4/94","18/18723",1.72736978472333e-06,7.94197516930747e-05,6.25241742652247e-05,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0072676","BP","GO:0072676","lymphocyte migration","7/94","117/18723",2.02932883508108e-06,8.99040983420769e-05,7.07781048425019e-05,"MSN/CCL18/CCL8/CXCL10/CXCL11/CCL4/CCL20",7
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","12/94","440/18723",2.04428498454549e-06,8.99040983420769e-05,7.07781048425019e-05,"ITGB2/TYROBP/FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/TREM1/FCGR2B/RSAD2/TREM2/HLA-DQA1/TRPM4",12
"GO:0002396","BP","GO:0002396","MHC protein complex assembly","4/94","19/18723",2.17959972903073e-06,9.3815537272961e-05,7.38574331472227e-05,"HLA-DPB1/HLA-DRA/HLA-DPA1/HLA-DQA1",4
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","11/94","371/18723",2.53085254635494e-06,0.000106664889609918,8.39732434788382e-05,"S100A8/ITGB2/LAPTM5/HLA-DPB1/HLA-DRA/MSN/HLA-DPA1/FCGR2B/CD86/HLA-DQA1/MYB",11
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","11/94","374/18723",2.73480720706339e-06,0.000112908468977331,8.8888577965347e-05,"MAFB/FCER1G/HLA-DRA/FCGR2B/CD86/SLAMF8/RSAD2/MYB/TCF7/BCL11B/ZFP36L2",11
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response","10/94","308/18723",3.34756984727343e-06,0.000135442676020683,0.000106628909029994,"LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/TREM1/FCGR2B/CD86/RSAD2/HLA-DQA1/TRPM4",10
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade","10/94","309/18723",3.44536529245128e-06,0.000136666156600568,0.000107592109132689,"GBP1/CCL18/CCL8/MARCO/CCL4/CHI3L1/C5AR1/TREM2/CCL20/TNFRSF11A",10
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","12/94","472/18723",4.20750803124466e-06,0.000163688245138614,0.000128865579985287,"FCER1G/LAPTM5/CCL18/CCL8/CXCL10/CXCL11/CXCL9/CXCL5/CCL4/TREM2/CCL20/TNFRSF11A",12
"GO:0060143","BP","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","4/94","23/18723",4.9034288190312e-06,0.000187077504570854,0.000147279061537426,"TYROBP/CD53/CXCL9/TREM2",4
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade","12/94","480/18723",4.99366547050228e-06,0.000187077504570854,0.000147279061537426,"LAPTM5/CCL18/CCL8/MARCO/FCGR2B/CCL4/CHI3L1/C5AR1/TREM2/CCL20/TNFRSF11A/TRAF4",12
"GO:0002687","BP","GO:0002687","positive regulation of leukocyte migration","7/94","135/18723",5.26469453081621e-06,0.000193645037015294,0.000152449432059807,"CCL8/CXCL10/CCL4/C5AR1/TREM2/DAPK2/CCL20",7
"GO:0030217","BP","GO:0030217","T cell differentiation","9/94","257/18723",5.79063364065097e-06,0.000209186640268516,0.000164684749968138,"MAFB/FCER1G/HLA-DRA/CD86/RSAD2/MYB/TCF7/BCL11B/ZFP36L2",9
"GO:0000768","BP","GO:0000768","syncytium formation by plasma membrane fusion","5/94","55/18723",8.17330957167631e-06,0.000285079401094848,0.000224432257385595,"TYROBP/CD53/CXCL10/CXCL9/TREM2",5
"GO:0140253","BP","GO:0140253","cell-cell fusion","5/94","55/18723",8.17330957167631e-06,0.000285079401094848,0.000224432257385595,"TYROBP/CD53/CXCL10/CXCL9/TREM2",5
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","11/94","427/18723",9.63214275581947e-06,0.00032907571023133,0.000259068891734528,"S100A8/MNDA/TYROBP/LY96/ALOX5AP/CXCL10/CCL4/C5AR1/TREM2/DAPK2/TNFRSF11A",11
"GO:0006949","BP","GO:0006949","syncytium formation","5/94","57/18723",9.76003095100336e-06,0.00032907571023133,0.000259068891734528,"TYROBP/CD53/CXCL10/CXCL9/TREM2",5
"GO:0071219","BP","GO:0071219","cellular response to molecule of bacterial origin","8/94","221/18723",1.54636441378485e-05,0.000506697811927399,0.000398904071309496,"LY96/CXCL10/CXCL11/CXCL9/CXCL5/FCGR2B/CD86/TREM2",8
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","10/94","367/18723",1.55290481164106e-05,0.000506697811927399,0.000398904071309496,"MAFB/TYROBP/HLA-DRA/FCGR2B/CD86/SLAMF8/TREM2/MYB/TCF7/ZFP36L2",10
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1","6/94","113/18723",2.2359012874324e-05,0.000717972746742183,0.000565232856789512,"GBP1/CCL18/CCL8/CCL4/CHI3L1/CCL20",6
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","10/94","386/18723",2.39419405672489e-05,0.000734852963898398,0.000578522014922224,"S100A8/ALOX5AP/TNFAIP6/FCGR2B/MMP9/SLAMF8/TREM2/TNFRSF11A/CASP5/SMPDL3B",10
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","8/94","235/18723",2.40561981429074e-05,0.000734852963898398,0.000578522014922224,"ITGB2/TYROBP/LAPTM5/HLA-DRA/CD86/RSAD2/TREM2/MYB",8
"GO:0050869","BP","GO:0050869","negative regulation of B cell activation","4/94","34/18723",2.46176496217824e-05,0.000734852963898398,0.000578522014922224,"MNDA/TYROBP/LAPTM5/FCGR2B",4
"GO:0055094","BP","GO:0055094","response to lipoprotein particle","4/94","34/18723",2.46176496217824e-05,0.000734852963898398,0.000578522014922224,"ITGB2/FCER1G/TREM2/SMPD3",4
"GO:0071675","BP","GO:0071675","regulation of mononuclear cell migration","6/94","115/18723",2.47009399629714e-05,0.000734852963898398,0.000578522014922224,"MSN/CXCL10/CCL4/C5AR1/SLAMF8/CCL20",6
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","8/94","240/18723",2.79643395522662e-05,0.000819882013249777,0.000645462177613712,"MNDA/LAPTM5/HLA-DPB1/GBP1/LCP2/FCGR2B/BTNL8/LIME1",8
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","6/94","118/18723",2.85804386985184e-05,0.000825974678387181,0.000650258703020426,"GBP1/HLA-DPA1/CCL18/CCL8/CCL4/CCL20",6
"GO:0042119","BP","GO:0042119","neutrophil activation","4/94","36/18723",3.10291780476424e-05,0.000871833710977509,0.00068636178927022,"ITGB2/TYROBP/FCER1G/FCGR2B",4
"GO:0071402","BP","GO:0071402","cellular response to lipoprotein particle stimulus","4/94","36/18723",3.10291780476424e-05,0.000871833710977509,0.00068636178927022,"ITGB2/FCER1G/TREM2/SMPD3",4
"GO:0070661","BP","GO:0070661","leukocyte proliferation","9/94","318/18723",3.15133201935127e-05,0.000873307489746249,0.000687522039694084,"MNDA/TYROBP/HLA-DPB1/MSN/HLA-DPA1/CCL8/FCGR2B/CD86/TREM2",9
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","8/94","246/18723",3.33436595037453e-05,0.000911543556433469,0.000717623852477476,"LY96/CXCL10/CXCL11/CXCL9/CXCL5/FCGR2B/CD86/TREM2",8
"GO:0002430","BP","GO:0002430","complement receptor mediated signaling pathway","3/94","13/18723",3.37955714145633e-05,0.000911579212955488,0.00071765192351206,"FPR3/C5AR1/FPR1",3
"GO:0050852","BP","GO:0050852","T cell receptor signaling pathway","6/94","123/18723",3.61240255308525e-05,0.000961564521696244,0.000757003471304429,"LAPTM5/HLA-DPB1/GBP1/LCP2/BTNL8/LIME1",6
"GO:0097242","BP","GO:0097242","amyloid-beta clearance","4/94","38/18723",3.85858758956702e-05,0.00101375619398624,0.000798092005880369,"ITGB2/MARCO/C5AR1/TREM2",4
"GO:0050863","BP","GO:0050863","regulation of T cell activation","9/94","329/18723",4.10684137414989e-05,0.00106514616665452,0.00083854939258958,"LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/CD86/HLA-DQA1/MYB/TCF7",9
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","9/94","336/18723",4.83445031761311e-05,0.0012379864547508,0.000974620030719339,"ITGB2/LAPTM5/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/CD86/HLA-DQA1/MYB",9
"GO:0036230","BP","GO:0036230","granulocyte activation","4/94","43/18723",6.32851399289421e-05,0.00160032297595312,0.0012598739041117,"ITGB2/TYROBP/FCER1G/FCGR2B",4
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","9/94","350/18723",6.62038146156779e-05,0.00165346070330267,0.00130170723214452,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/RSAD2/TREM2/HLA-DQA1/TRPM4",9
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response","8/94","275/18723",7.31267999257617e-05,0.00180409166158312,0.00142029330279432,"ITGB2/TYROBP/FCER1G/HLA-DRA/FCGR2B/CD86/TREM2/MYB",8
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/94","356/18723",7.54064091863703e-05,0.00183791766004852,0.00144692323524386,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/RSAD2/TREM2/HLA-DQA1/TRPM4",9
"GO:0034341","BP","GO:0034341","response to interferon-gamma","6/94","141/18723",7.74887886388621e-05,0.00186618832638593,0.00146917966429321,"GBP1/HLA-DPA1/CCL18/CCL8/CCL4/CCL20",6
"GO:0002263","BP","GO:0002263","cell activation involved in immune response","8/94","279/18723",8.08727013707579e-05,0.00192477029262404,0.00151529903620999,"ITGB2/TYROBP/FCER1G/HLA-DRA/FCGR2B/CD86/TREM2/MYB",8
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","7/94","207/18723",8.27930775545851e-05,0.001947562742941,0.00153324267246129,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0038061","BP","GO:0038061","NIK/NF-kappaB signaling","6/94","143/18723",8.37754750255499e-05,0.00194802052846767,0.00153360306973572,"LAPTM5/CHI3L1/CD86/TREM2/LIME1/TRAF4",6
"GO:0070664","BP","GO:0070664","negative regulation of leukocyte proliferation","5/94","90/18723",8.99223910542655e-05,0.00203632862592017,0.00160312470328965,"MNDA/TYROBP/CCL8/FCGR2B/CD86",5
"GO:0001774","BP","GO:0001774","microglial cell activation","4/94","47/18723",9.00738773425455e-05,0.00203632862592017,0.00160312470328965,"ITGB2/TYROBP/C5AR1/TREM2",4
"GO:0019724","BP","GO:0019724","B cell mediated immunity","7/94","210/18723",9.05929690226472e-05,0.00203632862592017,0.00160312470328965,"FCER1G/HLA-DPB1/HLA-DRA/HLA-DPA1/FCGR2B/TREM2/HLA-DQA1",7
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","3/94","18/18723",9.46829863591196e-05,0.00208199653700542,0.00163907732678888,"ITGB2/TYROBP/FCER1G",3
"GO:0030889","BP","GO:0030889","negative regulation of B cell proliferation","3/94","18/18723",9.46829863591196e-05,0.00208199653700542,0.00163907732678888,"MNDA/TYROBP/FCGR2B",3
"GO:0048245","BP","GO:0048245","eosinophil chemotaxis","3/94","19/18723",0.000112027371352261,0.00241097204516622,0.00189806733321356,"CCL8/CCL4/DAPK2",3
"GO:1901739","BP","GO:1901739","regulation of myoblast fusion","3/94","19/18723",0.000112027371352261,0.00241097204516622,0.00189806733321356,"CD53/CXCL10/CXCL9",3
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","7/94","223/18723",0.000131637957309233,0.00280319565933241,0.0022068501873559,"ITGB2/TYROBP/FCER1G/LCP2/FCGR2B/C5AR1/TREM2",7
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","7/94","226/18723",0.000142980691923787,0.0030130202058523,0.00237203713684966,"ITGB2/TYROBP/HLA-DRA/FCGR2B/RSAD2/TREM2/TRPM4",7
"GO:0072503","BP","GO:0072503","cellular divalent inorganic cation homeostasis","10/94","486/18723",0.000162914382690191,0.00339768862043563,0.00267487206739293,"S100A8/CCL8/CXCL10/CXCL11/CXCL9/FPR3/C5AR1/FPR1/TRPM4/LIME1",10
"GO:0051047","BP","GO:0051047","positive regulation of secretion","8/94","310/18723",0.000167242496618821,0.0034523629659171,0.00271791511690952,"S100A8/ITGB2/TREM2/MYB/TRPM4/SMPD3/P2RY2/TNFRSF11A",8
"GO:0042116","BP","GO:0042116","macrophage activation","5/94","106/18723",0.000194670637625376,0.00397796666581955,0.00313170308056559,"ITGB2/TYROBP/FCGR2B/C5AR1/TREM2",5
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","7/94","239/18723",0.000201676833793732,0.00403043104667544,0.00317300630830707,"ITGB2/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/HLA-DQA1/MYB",7
"GO:0072677","BP","GO:0072677","eosinophil migration","3/94","23/18723",0.000201788545915929,0.00403043104667544,0.00317300630830707,"CCL8/CCL4/DAPK2",3
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","8/94","319/18723",0.000203215010756745,0.00403043104667544,0.00317300630830707,"CXCL10/CXCL11/CXCL9/FPR3/C5AR1/FPR1/TRPM4/LIME1",8
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","9/94","409/18723",0.00021445975994358,0.00421215625597926,0.00331607170970503,"ITGB2/TYROBP/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/TREM2/HLA-DQA1/MYB",9
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","7/94","245/18723",0.000234652988424715,0.00456445188060767,0.00359342076403434,"MNDA/TYROBP/HLA-DPB1/HLA-DPA1/CCL8/FCGR2B/CD86",7
"GO:0045619","BP","GO:0045619","regulation of lymphocyte differentiation","6/94","174/18723",0.000244740237725795,0.0047143792407941,0.00371145291844913,"HLA-DRA/CD86/SLAMF8/MYB/TCF7/ZFP36L2",6
"GO:2000401","BP","GO:2000401","regulation of lymphocyte migration","4/94","61/18723",0.000249774255919797,0.0047143792407941,0.00371145291844913,"MSN/CXCL10/CCL4/CCL20",4
"GO:0002526","BP","GO:0002526","acute inflammatory response","5/94","112/18723",0.00025168213445663,0.0047143792407941,0.00371145291844913,"S100A8/ALOX5AP/TREM1/FCGR2B/TNFRSF11A",5
"GO:0046632","BP","GO:0046632","alpha-beta T cell differentiation","5/94","112/18723",0.00025168213445663,0.0047143792407941,0.00371145291844913,"HLA-DRA/CD86/RSAD2/MYB/BCL11B",5
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","9/94","420/18723",0.000260932407950964,0.0048428097365578,0.00381256140250902,"ITGB2/TYROBP/HLA-DPB1/HLA-DRA/HLA-DPA1/CD86/TREM2/HLA-DQA1/MYB",9
"GO:0006816","BP","GO:0006816","calcium ion transport","9/94","422/18723",0.000270220269003506,0.00496959640176447,0.0039123757607876,"CCL8/CXCL10/CXCL11/CXCL9/CCL4/TRPM4/TRPM6/LIME1/EPB41",9
"GO:0002286","BP","GO:0002286","T cell activation involved in immune response","5/94","114/18723",0.000273252727751757,0.00498009250668292,0.00392063894820681,"FCER1G/HLA-DRA/FCGR2B/CD86/MYB",5
